text,intent
"Có thể xác nhận lại lịch hẹn mà tôi đã đặt không?",booking
"Có thể xác nhận lại lịch hẹn mà tôi đã đặt không?",booking
"Có thể xác nhận lịch hẹn đã đặt không?",booking
"Làm ơn xác nhận lịch hẹn cho tôi.",booking
"Làm ơn xác nhận lịch hẹn cho tôi.",booking
"Tôi cần biết lịch hẹn của tôi có còn hiệu lực không.",booking
"Tôi cần biết lịch hẹn của tôi đã được thông qua chưa.",booking
"Tôi cần biết liệu bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi cần biết liệu bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi cần biết liệu lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi cần biết liệu lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi cần biết liệu lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi cần biết liệu lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi cần biết liệu lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi cần biết liệu lịch hẹn của mình có được xác nhận không.",booking
"Tôi cần biết liệu lịch hẹn của mình đã được xác nhận chưa.",booking
"Tôi cần biết liệu tôi có lịch hẹn đã được đồng ý không.",booking
"Tôi cần biết liệu tôi có lịch hẹn đã được đồng ý không.",booking
"Tôi cần biết liệu tôi có lịch hẹn đã được xác nhận không.",booking
"Tôi cần biết liệu tôi có lịch hẹn đã được xác nhận không.",booking
"Tôi cần kiểm tra xem bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi cần kiểm tra xem bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi cần kiểm tra xem bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi cần kiểm tra xem bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi cần kiểm tra xem lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi cần kiểm tra xem lịch hẹn của mình đã được đồng ý chưa.",booking
"Tôi cần kiểm tra xem lịch hẹn của mình đã được xác nhận chưa.",booking
"Tôi cần kiểm tra xem lịch hẹn đã được đồng ý chưa.",booking
"Tôi cần xác nhận lại lịch hẹn của mình với bác sĩ.",booking
"Tôi cần xác nhận lại lịch hẹn khám của mình với bác sĩ.",booking
"Tôi cần xác nhận lại lịch hẹn khám của mình.",booking
"Tôi cần xác nhận lại lịch hẹn khám sức khỏe của mình.",booking
"Tôi cần xác nhận lại thông tin lịch hẹn của mình.",booking
"Tôi cần xác nhận lại thông tin lịch hẹn của mình.",booking
"Tôi cần xác nhận lại thông tin lịch hẹn của tôi với bác sĩ.",booking
"Tôi cần xác nhận lại thông tin lịch hẹn của tôi với bác sĩ.",booking
"Tôi cần xác nhận lại thông tin lịch hẹn của tôi với bác sĩ.",booking
"Tôi cần xác nhận lại thông tin lịch hẹn của tôi.",booking
"Tôi cần xác nhận lại thông tin về lịch hẹn của mình.",booking
"Tôi cần xác nhận lịch hẹn của mình với trung tâm y tế.",booking
"Tôi cần xác nhận lịch hẹn khám sức khỏe của mình với bác sĩ.",booking
"Tôi cần xác nhận lịch hẹn khám sức khỏe của mình với bác sĩ.",booking
"Tôi cần xác nhận lịch hẹn khám sức khỏe của mình với bác sĩ.",booking
"Tôi cần xác nhận lịch hẹn khám sức khỏe của mình với bác sĩ.",booking
"Tôi cần xác nhận lịch hẹn mà tôi đã lên kế hoạch.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ chuyên khoa của mình.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ chuyên khoa.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ mà tôi đã đăng ký.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ mà tôi đã đặt.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ mà tôi đã đặt.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ.",booking
"Tôi cần xác nhận thời gian hẹn mà tôi đã đặt.",booking
"Tôi cần xác nhận thời gian hẹn mà tôi đã lên kế hoạch.",booking
"Tôi cần xác nhận thông tin lịch hẹn của mình với bác sĩ.",booking
"Tôi cần xác nhận tình trạng lịch hẹn của mình.",booking
"Tôi muốn biết lịch hẹn của mình có còn đúng không.",booking
"Tôi muốn biết lịch hẹn của mình có còn đúng không.",booking
"Tôi muốn biết lịch hẹn của mình có còn đúng không.",booking
"Tôi muốn biết lịch hẹn của mình có được đồng ý không.",booking
"Tôi muốn biết lịch hẹn của mình đã được chấp nhận chưa?",booking
"Tôi muốn biết lịch hẹn của mình đã được đồng ý chưa.",booking
"Tôi muốn biết lịch hẹn của tôi có đúng không.",booking
"Tôi muốn biết liệu lịch hẹn của mình có còn đúng không.",booking
"Tôi muốn biết liệu lịch hẹn của mình có được xác nhận không.",booking
"Tôi muốn biết liệu lịch hẹn của mình đã được đồng ý chưa.",booking
"Tôi muốn biết liệu lịch hẹn của tôi có đúng không.",booking
"Tôi muốn biết liệu tôi có lịch hẹn với bác sĩ không.",booking
"Tôi muốn biết liệu tôi có lịch hẹn với bác sĩ không.",booking
"Tôi muốn biết liệu tôi có lịch hẹn với bác sĩ không.",booking
"Tôi muốn biết liệu tôi có lịch hẹn với bác sĩ không.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với bác sĩ chuyên khoa.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với bác sĩ chuyên khoa.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với bác sĩ chuyên khoa.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với bác sĩ chuyên khoa.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với bác sĩ chuyên khoa.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với bác sĩ chuyên khoa.",booking
"Tôi muốn kiểm tra lịch hẹn của mình với trung tâm y tế.",booking
"Tôi muốn kiểm tra tình trạng lịch hẹn của mình với bác sĩ.",booking
"Tôi muốn kiểm tra tình trạng lịch hẹn của mình với bác sĩ.",booking
"Tôi muốn kiểm tra tình trạng lịch hẹn của mình.",booking
"Tôi muốn kiểm tra tình trạng xác nhận của lịch hẹn.",booking
"Tôi muốn kiểm tra xem bác sĩ đã đồng ý lịch hẹn của tôi chưa.",booking
"Tôi muốn kiểm tra xem bác sĩ đã xác nhận lịch hẹn chưa.",booking
"Tôi muốn kiểm tra xem bác sĩ đã xác nhận lịch hẹn của tôi chưa.",booking
"Tôi muốn kiểm tra xem lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi muốn kiểm tra xem lịch hẹn của mình có còn hiệu lực không.",booking
"Tôi muốn xác nhận lại lịch hẹn của mình với trung tâm y tế.",booking
"Tôi muốn xác nhận lại lịch hẹn đã đặt của mình với bác sĩ.",booking
"Tôi muốn xác nhận lại lịch hẹn đã đặt của mình với bác sĩ.",booking
"Tôi muốn xác nhận lại lịch hẹn đã đặt của mình với bác sĩ.",booking
"Tôi muốn xác nhận lại lịch hẹn đã đặt của mình.",booking
"Tôi muốn xác nhận lại lịch hẹn khám sức khỏe của mình.",booking
"Tôi muốn xác nhận lại lịch hẹn khám sức khỏe của mình.",booking
"Tôi muốn xác nhận lại lịch hẹn với bác sĩ của mình.",booking
"Tôi muốn xác nhận lại thời gian hẹn của mình.",booking
"Tôi muốn xác nhận lại thông tin về lịch hẹn của mình.",booking
"Tôi muốn xác nhận lại thông tin về lịch hẹn của tôi với bác sĩ.",booking
"Tôi muốn xác nhận lại thông tin về lịch hẹn của tôi với bác sĩ.",booking
"Tôi muốn xác nhận lại thông tin về lịch hẹn của tôi với bác sĩ.",booking
"Tôi muốn xác nhận lại thông tin về lịch hẹn của tôi với bác sĩ.",booking
"Tôi muốn xác nhận lịch hẹn của mình.",booking
"Tôi muốn xác nhận lịch hẹn đã đặt của mình với bác sĩ.",booking
"Tôi muốn xác nhận liệu tôi có lịch hẹn với bác sĩ không.",booking
"Tôi muốn xác nhận rằng lịch hẹn của tôi vẫn còn hiệu lực.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi có đúng không.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được chấp nhận chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được đồng ý chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được đồng ý chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được thông qua chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được xác nhận chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được xác nhận chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được xác nhận chưa.",booking
"Xin hãy cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin hãy cho tôi biết liệu lịch hẹn của tôi có được xác nhận không.",booking
"Xin hãy cho tôi biết liệu tôi có lịch hẹn đã được xác nhận không.",booking
"Xin hãy cho tôi biết thời gian hẹn của tôi đã được xác nhận chưa?",booking
"Xin hãy cho tôi biết thời gian hẹn của tôi đã được xác nhận chưa?",booking
"Xin hãy cho tôi biết thời gian hẹn của tôi đã được xác nhận chưa?",booking
"Xin hãy cho tôi biết thời gian hẹn của tôi đã được xác nhận chưa?",booking
"Xin hãy cho tôi biết thời gian hẹn của tôi đã được xác nhận chưa?",booking
"Xin hãy cho tôi biết thông tin về lịch hẹn của tôi.",booking
"Xin hãy xác nhận lại lịch hẹn của tôi.",booking
"Xin hãy xác nhận lại thời gian hẹn của tôi.",booking
"Xin hãy xác nhận lịch hẹn của tôi với bác sĩ chuyên khoa.",booking
"Xin hãy xác nhận lịch hẹn của tôi với bác sĩ chuyên khoa.",booking
"Xin hãy xác nhận lịch hẹn của tôi với bác sĩ.",booking
"Xin hãy xác nhận lịch hẹn của tôi với trung tâm y tế.",booking
"Xin hãy xác nhận lịch hẹn của tôi với trung tâm y tế.",booking
"Xin hãy xác nhận lịch hẹn của tôi với trung tâm y tế.",booking
"Xin hãy xác nhận lịch hẹn của tôi.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi với bác sĩ.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi với bác sĩ.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi với bác sĩ.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi với bác sĩ.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi với bác sĩ.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi.",booking
"Xin hãy xác nhận lịch hẹn khám bệnh của tôi.",booking
"Xin hãy xác nhận thời gian hẹn của tôi với bác sĩ.",booking
"Xin hãy xác nhận thời gian hẹn của tôi với bác sĩ.",booking
"Xin hãy xác nhận thời gian hẹn của tôi với bác sĩ.",booking
"Xin hãy xác nhận thời gian hẹn của tôi.",booking
"Xin làm ơn cho tôi biết lịch hẹn của tôi đã được xác nhận hay chưa.",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi có đúng không.",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi có đúng không.",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi có đúng không.",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được thông qua chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được thông qua chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa.",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết liệu lịch hẹn của tôi có còn hiệu lực không?",booking
"Xin vui lòng cho tôi biết liệu tôi có lịch hẹn đã được đồng ý không.",booking
"Xin vui lòng cho tôi biết thời gian hẹn của tôi đã được đồng ý chưa?",booking
"Xin vui lòng cho tôi biết thời gian hẹn của tôi đã được xác nhận chưa?",booking
"Xin vui lòng cho tôi biết tình trạng lịch hẹn của tôi.",booking
"Xin vui lòng xác nhận lịch hẹn cho tôi một lần nữa.",booking
"Xin vui lòng xác nhận lịch hẹn của tôi đã được chấp nhận chưa?",booking
"Xin vui lòng xác nhận lịch hẹn khám bệnh của tôi.",booking
"Xin vui lòng xác nhận lịch hẹn khám bệnh của tôi.",booking
"Xin vui lòng xác nhận lịch hẹn khám bệnh của tôi.",booking
"Xin vui lòng xác nhận lịch hẹn khám bệnh của tôi.",booking
"Xin vui lòng xác nhận lịch hẹn mà tôi đã đặt.",booking
"Xin vui lòng xác nhận thời gian hẹn của tôi với bác sĩ.",booking
"Xin vui lòng xác nhận thời gian hẹn của tôi.",booking
"Xin vui lòng xác nhận thời gian hẹn của tôi.",booking
"Bạn có thể giúp tôi đặt lịch hẹn với bệnh viện không?",booking
"Cho tôi biết cách đặt lịch hẹn với bác sĩ tâm lý.",booking
"Có cách nào để tôi đặt hẹn khám bệnh qua ứng dụng không?",booking
"Có cách nào để tôi đặt hẹn với bác sĩ không?",booking
"Có cách nào để tôi đặt lịch hẹn khám bệnh không?",booking
"Có cách nào để tôi đặt lịch hẹn không?",booking
"Có cách nào để tôi đặt lịch hẹn trực tuyến không?",booking
"Có cách nào để tôi đặt lịch hẹn trực tuyến không?",booking
"Có cách nào để tôi đặt lịch hẹn với bác sĩ không?",booking
"Có cách nào để tôi đặt lịch hẹn với bác sĩ không?",booking
"Có cách nào để tôi lên lịch hẹn khám bệnh không?",booking
"Có cách nào để tôi lên lịch hẹn khám bệnh không?",booking
"Có cách nào để tôi lên lịch hẹn không?",booking
"Có cách nào để tôi lên lịch hẹn không?",booking
"Làm thế nào để đặt lịch hẹn khám bệnh?",booking
"Có cách nào để tôi xác nhận lịch hẹn không?",booking
"Có thể cho tôi biết bác sĩ nào có lịch khám vào cuối tuần không?",booking
"Có thể cho tôi biết bác sĩ nào có lịch khám vào thứ Hai không?",booking
"Có thể cho tôi biết bác sĩ nào có lịch khám vào thứ Hai không?",booking
"Có thể cho tôi biết bác sĩ nào có thời gian vào thứ Tư không?",booking
"Có thể cho tôi biết cách đăng ký lịch hẹn không?",booking
"Có thể cho tôi biết cách đăng ký lịch hẹn không?",booking
"Có thể cho tôi biết cách đặt lịch khám bệnh không?",booking
"Có thể cho tôi biết quy trình để đặt hẹn không?",booking
"Có thể cho tôi biết quy trình để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian bác sĩ có sẵn không?",booking
"Có thể cho tôi biết thời gian bác sĩ có sẵn vào tháng này không?",booking
"Có thể cho tôi biết thời gian có sẵn để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian có sẵn để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian có sẵn để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian có sẵn để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian nào là khả dụng để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian nào là khả dụng để đặt hẹn không?",booking
"Có thể cho tôi biết thời gian nào là tốt nhất để khám phụ khoa không?",booking
"Có thể đặt lịch hẹn qua điện thoại hay không?",booking
"Có thể giúp tôi đặt hẹn với bác sĩ phẫu thuật không?",booking
"Có thể giúp tôi đặt lịch hẹn với bác sĩ chuyên khoa không?",booking
"Có thể giúp tôi đặt lịch hẹn với bác sĩ chuyên khoa tim mạch không?",booking
"Có thể giúp tôi đặt lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi đặt lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi đặt một buổi hẹn không?",booking
"Có thể giúp tôi lên lịch hẹn với bác sĩ chuyên khoa không?",booking
"Có thể giúp tôi lên lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi sắp xếp lịch hẹn cho buổi kiểm tra sức khỏe không?",booking
"Có thể giúp tôi sắp xếp lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi sắp xếp lịch hẹn với bác sĩ nhi khoa không?",booking
"Có thể giúp tôi sắp xếp lịch hẹn với bác sĩ nhi khoa không?",booking
"Có thể giúp tôi xác nhận lịch hẹn của mình không?",booking
"Có thể giúp tôi xác nhận lịch hẹn không?",booking
"Có thể giúp tôi xác nhận lịch hẹn không?",booking
"Có thể giúp tôi xác nhận lịch hẹn không?",booking
"Có thể giúp tôi xác nhận thời gian hẹn với bác sĩ không?",booking
"Có thể hỗ trợ tôi trong việc đặt lịch hẹn không?",booking
"Có thể hỗ trợ tôi trong việc đặt lịch hẹn không?",booking
"Có thể hỗ trợ tôi trong việc lên lịch hẹn không?",booking
"Có thể hỗ trợ tôi trong việc xác nhận lịch hẹn không?",booking
"Giúp tôi đặt lịch hẹn cho buổi khám tiếp theo.",booking
"Giúp tôi đặt một cuộc hẹn với bác sĩ chuyên khoa.",booking
"Giúp tôi đặt một lịch hẹn với bác sĩ nha khoa.",booking
"Giúp tôi đặt một lịch hẹn với bác sĩ nội khoa.",booking
"Làm ơn, giúp tôi sắp xếp một cuộc hẹn.",booking
"Làm thế nào để đặt hẹn tại phòng khám?",booking
"Làm thế nào để tôi có thể đặt lịch khám?",booking
"Tôi cần đặt cuộc hẹn cho lần khám tiếp theo.",booking
"Tôi cần đặt hẹn để kiểm tra sức khỏe định kỳ.",booking
"Tôi cần đặt hẹn gặp bác sĩ chuyên khoa.",booking
"Tôi cần đặt lịch hẹn cho kiểm tra sức khỏe định kỳ.",booking
"Tôi cần đặt lịch hẹn cho kiểm tra sức khỏe định kỳ.",booking
"Tôi cần đặt lịch hẹn cho kiểm tra sức khỏe trẻ em.",booking
"Tôi cần đặt lịch hẹn cho kiểm tra sức khỏe trẻ em.",booking
"Tôi cần đặt lịch hẹn cho kiểm tra sức khỏe trẻ em.",booking
"Tôi cần đặt lịch hẹn cho trẻ em đi khám.",booking
"Tôi cần đặt lịch hẹn cho trẻ em đi khám.",booking
"Tôi cần đặt lịch hẹn cho tư vấn dinh dưỡng.",booking
"Tôi cần đặt lịch hẹn cho tư vấn sức khỏe.",booking
"Tôi cần đặt lịch hẹn cho tư vấn sức khỏe.",booking
"Tôi cần đặt lịch khám cho bản thân.",booking
"Tôi cần đặt lịch khám cho con cái.",booking
"Tôi cần đặt lịch khám cho con tôi.",booking
"Tôi cần đặt lịch khám sức khỏe.",booking
"Tôi cần đặt lịch với chuyên gia dinh dưỡng.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra cholesterol.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra dị ứng.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra dị ứng.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra nội tiết.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra nội tiết.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra sức khỏe tâm thần.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra sức khỏe tâm thần.",booking
"Tôi cần hẹn gặp bác sĩ để kiểm tra sức khỏe.",booking
"Tôi cần hẹn với bác sĩ vào tuần tới.",booking
"Tôi cần lên lịch gặp bác sĩ trong tuần này.",booking
"Tôi cần lên lịch gặp bác sĩ vào tuần này.",booking
"Tôi cần lên lịch hẹn với chuyên gia.",booking
"Tôi cần sắp xếp một cuộc hẹn cho kiểm tra huyết áp.",booking
"Tôi cần sắp xếp một cuộc hẹn cho kiểm tra huyết áp.",booking
"Tôi cần sắp xếp một cuộc hẹn để kiểm tra thị lực.",booking
"Tôi cần sắp xếp một cuộc hẹn khám bệnh.",booking
"Tôi cần sắp xếp một cuộc hẹn kiểm tra bệnh tiểu đường.",booking
"Tôi cần sắp xếp một cuộc hẹn với bác sĩ sản khoa.",booking
"Tôi cần sắp xếp một cuộc hẹn với bác sĩ trong tháng này.",booking
"Tôi cần sắp xếp một cuộc hẹn với bác sĩ vào tuần tới.",booking
"Tôi cần sắp xếp một cuộc hẹn với bác sĩ vào tuần tới.",booking
"Tôi cần sắp xếp một cuộc hẹn với chuyên gia.",booking
"Tôi cần sắp xếp một cuộc hẹn với chuyên gia.",booking
"Tôi cần xác nhận lịch hẹn của mình vào thứ Hai.",booking
"Tôi cần xác nhận lịch hẹn của mình vào thứ Hai.",booking
"Tôi cần xác nhận lịch hẹn của mình.",booking
"Tôi cần xác nhận lịch hẹn của mình.",booking
"Tôi cần xác nhận lịch hẹn khám tim mạch.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ chuyên khoa.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ chuyên khoa.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ của mình.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ của mình.",booking
"Tôi cần xác nhận lịch hẹn với bác sĩ của mình.",booking
"Tôi muốn biết cách đăng ký lịch hẹn trực tuyến.",booking
"Tôi muốn biết cách đặt lịch hẹn với bác sĩ gia đình.",booking
"Tôi muốn biết cách hủy lịch hẹn nếu cần.",booking
"Tôi muốn biết thời gian khám của bác sĩ trong tháng này.",booking
"Tôi muốn biết thời gian khám của bác sĩ trong tháng này.",booking
"Tôi muốn biết thời gian khám của bác sĩ trong tuần này.",booking
"Tôi muốn biết thời gian nào là tốt nhất để khám.",booking
"Tôi muốn biết thời gian nào là tốt nhất để khám.",booking
"Tôi muốn biết thời gian nào là tốt nhất để khám.",booking
"Tôi muốn đặt lịch hẹn cho kiểm tra sức khỏe định kỳ.",booking
"Tôi muốn đặt lịch hẹn với bác sĩ.",booking
"Tôi muốn đặt lịch với bác sĩ trong tuần tới.",booking
"Tôi muốn đặt một cuộc hẹn cho khám sức khỏe định kỳ.",booking
"Tôi muốn đặt một cuộc hẹn cho khám sức khỏe định kỳ.",booking
"Tôi muốn đặt một cuộc hẹn cho kiểm tra sức khỏe định kỳ.",booking
"Tôi muốn đặt một cuộc hẹn cho kiểm tra sức khỏe định kỳ.",booking
"Tôi muốn đặt một cuộc hẹn để kiểm tra sức khỏe.",booking
"Tôi muốn đặt một cuộc hẹn để tư vấn sức khỏe.",booking
"Tôi muốn đặt một cuộc hẹn khám bệnh lý mãn tính.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra huyết áp.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe định kỳ.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe định kỳ.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe tổng quát.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe tổng quát.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe.",booking
"Tôi muốn đặt một cuộc hẹn kiểm tra sức khỏe.",booking
"Tôi muốn đặt một cuộc hẹn với bác sĩ chuyên khoa.",booking
"Tôi muốn đặt một cuộc hẹn với bác sĩ nội khoa.",booking
"Tôi muốn đặt một cuộc hẹn với bác sĩ.",booking
"Tôi muốn đặt một lịch hẹn gặp bác sĩ.",booking
"Tôi muốn hẹn gặp bác sĩ chuyên khoa da liễu.",booking
"Tôi muốn hẹn gặp bác sĩ chuyên khoa da liễu.",booking
"Tôi muốn lên kế hoạch cho một cuộc gặp.",booking
"Tôi muốn lên kế hoạch cho một cuộc hẹn khám bệnh.",booking
"Tôi muốn lên kế hoạch cho một cuộc hẹn khám.",booking
"Tôi muốn lên kế hoạch cho một cuộc hẹn.",booking
"Tôi muốn lên kế hoạch cho một cuộc hẹn.",booking
"Tôi muốn lên kế hoạch cho một cuộc hẹn.",booking
"Tôi muốn lên lịch cho một cuộc hẹn khám bệnh.",booking
"Tôi muốn lên lịch cho một cuộc hẹn khám bệnh.",booking
"Tôi muốn lên lịch gặp bác sĩ trong tháng này.",booking
"Tôi muốn lên lịch gặp chuyên gia y tế.",booking
"Tôi muốn lên lịch hẹn cho buổi khám mắt.",booking
"Tôi muốn lên lịch hẹn cho buổi tiêm vắc xin.",booking
"Tôi muốn lên lịch hẹn cho buổi tư vấn dinh dưỡng.",booking
"Tôi muốn lên lịch hẹn khám bệnh vào buổi sáng.",booking
"Tôi muốn lên lịch khám sức khỏe tổng quát.",booking
"Tôi muốn lên lịch với bác sĩ trong tháng này.",booking
"Tôi muốn sắp xếp một cuộc hẹn với bác sĩ chuyên khoa.",booking
"Tôi muốn xác nhận lại lịch hẹn của mình với bác sĩ.",booking
"Tôi muốn xác nhận lịch hẹn của mình vào thứ Tư.",booking
"Tôi muốn xác nhận lịch hẹn của mình vào tuần tới.",booking
"Tôi muốn xem lịch để đặt cuộc hẹn.",booking
"Xin cho tôi biết thời gian khả dụng để đặt hẹn.",booking
"Xin hãy cho tôi biết cách đăng ký hẹn với bác sĩ.",booking
"Xin hãy cho tôi biết cách đăng ký lịch hẹn.",booking
"Xin hãy cho tôi biết cách đăng ký lịch hẹn.",booking
"Xin hãy cho tôi biết cách đặt lịch hẹn qua điện thoại.",booking
